model,optimizer,epoch,train_loss,val_acc_%,epoch_time_sec,cum_time_sec
resnet,adam,38,0.897323950212829,89.26,29.24006485939026,875.9113824367523
resnet,adam,39,0.8952916228041357,90.06,25.452982425689697,901.364364862442
resnet,adam,40,0.8821243254505858,90.82,24.15230631828308,925.5166711807251
resnet,adam,41,0.8770886829921177,91.09,28.714105129241943,954.230776309967
resnet,adam,42,0.8727708896812127,91.19,25.98195171356201,980.212728023529
resnet,adam,43,0.8705103677146289,90.1,20.218899965286255,1000.4316279888153
resnet,adam,44,0.8650062826215005,91.15,23.96668815612793,1024.3983161449432
resnet,adam,45,0.861716839731956,91.25,21.749403953552246,1046.1477200984955
resnet,adam,46,0.8555675112471288,91.26,26.23739242553711,1072.3851125240326
resnet,adam,47,0.8466206874166217,92.15,25.719021320343018,1098.1041338443756
resnet,adam,48,0.8382864205204711,91.98,22.120924472808838,1120.2250583171844
resnet,adam,49,0.8339984088527913,91.56,27.102797508239746,1147.3278558254242
resnet,adam,50,0.8311897881177007,91.32,24.610779762268066,1171.9386355876923
resnet,adam,51,0.8235795777671191,91.95,23.504279851913452,1195.4429154396057
resnet,adam,52,0.8235461407778214,92.6,25.287611722946167,1220.7305271625519
resnet,adam,53,0.8198239061297202,92.72,24.669023275375366,1245.3995504379272
resnet,adam,54,0.8151965165624813,92.64,24.245877027511597,1269.6454274654388
resnet,adam,55,0.8149564971729201,92.75,21.34844136238098,1290.9938688278198
resnet,adam,56,0.8048200108567063,92.71,23.461809873580933,1314.4556787014008
resnet,adam,57,0.8038922232024523,92.0,23.933619260787964,1338.3892979621887
resnet,adam,58,0.8059285562865588,92.31,22.031232357025146,1360.4205303192139
resnet,adam,59,0.7960308315802593,93.01,24.145018815994263,1384.5655491352081
resnet,adam,60,0.7925710507801601,93.22,25.707566738128662,1410.2731158733368
resnet,adam,61,0.7958279276380733,93.24,22.859596014022827,1433.1327118873596
resnet,adam,62,0.7871949003667248,93.62,16.964438676834106,1450.0971505641937
resnet,adam,63,0.7848999062362982,93.13,22.296045780181885,1472.3931963443756
resnet,adam,64,0.7836964568313287,93.07,26.514397382736206,1498.9075937271118
resnet,adam,65,0.778634537239464,93.21,20.32279324531555,1519.2303869724274
resnet,adam,66,0.7831682100587961,93.44,21.73887062072754,1540.969257593155
resnet,adam,67,0.7757293192707763,93.64,24.544520378112793,1565.5137779712677
resnet,adam,68,0.775025876200929,93.53,20.865664958953857,1586.3794429302216
resnet,adam,69,0.7747091395514352,93.65,23.811633586883545,1610.191076517105
resnet,adam,70,0.7713013522478999,93.72,24.258275985717773,1634.4493525028229
resnet,adam,71,0.7676453201138244,93.74,22.736655235290527,1657.1860077381134
resnet,adam,72,0.7622695565223694,93.75,24.08128309249878,1681.2672908306122
resnet,adam,73,0.7653883756423483,93.8,26.216081142425537,1707.4833719730377
resnet,adam,74,0.7635964045719225,93.82,23.558704376220703,1731.0420763492584
resnet,adam,75,0.7675888355897398,93.84,20.768468856811523,1751.81054520607
resnet,adam,76,0.7622743188118448,93.82,24.323938608169556,1776.1344838142395
resnet,adam,77,0.7624058455837016,93.81,23.920533657073975,1800.0550174713135
resnet,adam,78,0.7612868170348965,93.76,23.664504051208496,1823.719521522522
resnet,adam,79,0.7577693231251775,93.78,22.966916799545288,1846.6864383220673
resnet,adam,80,0.7645726581009067,93.81,24.2787024974823,1870.9651408195496
resnet,dion,1,2.5338478769574846,9.97,46.297964096069336,46.297964096069336
resnet,dion,2,2.1340400807711544,30.47,27.173086166381836,73.47105026245117
resnet,dion,3,1.9333774581247447,44.64,29.325061798095703,102.79611206054688
resnet,dion,4,1.8307731930090456,40.68,30.154529333114624,132.9506413936615
resnet,dion,5,1.7455717154911585,52.71,25.535702228546143,158.48634362220764
resnet,dion,6,1.6845606224877494,50.51,26.02105212211609,184.50739574432373
resnet,dion,7,1.6316792648665759,56.21,23.31588339805603,207.82327914237976
resnet,dion,8,1.5882408789225988,53.41,21.847743034362793,229.67102217674255
resnet,dion,9,1.5506409771588383,56.21,22.72454857826233,252.39557075500488
resnet,dion,10,1.5200568559218426,63.07,19.934979915618896,272.3305506706238
resnet,dion,11,1.4833259996102781,62.44,23.108896255493164,295.43944692611694
resnet,dion,12,1.4620187355547536,59.67,27.34220004081726,322.7816469669342
resnet,dion,13,1.428220347482331,63.58,25.190435647964478,347.9720826148987
resnet,dion,14,1.4057254231705958,58.24,25.34695816040039,373.3190407752991
resnet,dion,15,1.3896929682517538,69.95,24.18453550338745,397.5035762786865
resnet,dion,16,1.3611573759390383,70.96,24.54922866821289,422.0528049468994
resnet,dion,17,1.3424958988111846,62.15,20.33020830154419,442.3830132484436
resnet,dion,18,1.3224880257431342,72.3,25.881511211395264,468.26452445983887
resnet,dion,19,1.309599492014671,69.89,22.318589448928833,490.5831139087677
resnet,dion,20,1.2912825175694056,73.68,23.815748929977417,514.3988628387451
resnet,dion,21,1.2836472160962162,76.46,20.71824359893799,535.1171064376831
resnet,dion,22,1.2649049807567985,68.18,21.2279155254364,556.3450219631195
resnet,dion,23,1.2546240407593396,73.34,21.81726861000061,578.1622905731201
resnet,dion,24,1.24104008869249,73.2,20.78257393836975,598.9448645114899
resnet,dion,25,1.224932244845799,75.38,23.728219032287598,622.6730835437775
resnet,dion,26,1.22236168384552,74.43,21.453020811080933,644.1261043548584
resnet,dion,27,1.2138637352962882,66.99,28.81576704978943,672.9418714046478
resnet,dion,28,1.2030673635249236,75.52,24.63055419921875,697.5724256038666
resnet,dion,29,1.1965583562850952,76.46,24.264111280441284,721.8365368843079
resnet,dion,30,1.1869479417800903,78.15,19.834882974624634,741.6714198589325
resnet,dion,31,1.1719047074415245,80.69,21.098620414733887,762.7700402736664
resnet,dion,32,1.164061419817866,80.65,19.644843339920044,782.4148836135864
resnet,dion,33,1.157056922815284,79.77,25.657490015029907,808.0723736286163
resnet,dion,34,1.154621528119457,80.96,25.060844659805298,833.1332182884216
resnet,dion,35,1.1467852957394657,77.35,20.747093439102173,853.8803117275238
resnet,dion,36,1.1387416805539812,80.7,18.95864224433899,872.8389539718628
resnet,dion,37,1.1310911178588867,82.38,21.494162797927856,894.3331167697906
resnet,dion,38,1.1228806656234118,76.36,20.390764236450195,914.7238810062408
resnet,dion,39,1.1201795363912777,82.28,20.352821588516235,935.0767025947571
resnet,dion,40,1.1133351204346638,82.38,23.561609268188477,958.6383118629456
resnet,dion,41,1.1053514577904526,81.89,18.71960735321045,977.357919216156
resnet,dion,42,1.0967665229524886,82.22,25.632880926132202,1002.9908001422882
resnet,dion,43,1.0956326723098755,82.25,20.81181764602661,1023.8026177883148
resnet,dion,44,1.0877106530325753,84.14,20.415507078170776,1044.2181248664856
resnet,dion,45,1.0868452349487616,78.04,20.255871772766113,1064.4739966392517
resnet,dion,46,1.0814436528147484,80.56,19.37809467315674,1083.8520913124084
resnet,dion,47,1.077467098528025,84.37,21.83954119682312,1105.6916325092316
resnet,dion,48,1.069655917128738,84.26,24.04166865348816,1129.7333011627197
resnet,dion,49,1.0674979297482237,83.9,22.514958143234253,1152.248259305954
resnet,dion,50,1.0618133958505125,84.69,21.98262071609497,1174.230880022049
resnet,dion,51,1.060663870402745,83.99,23.059112548828125,1197.289992570877
resnet,dion,52,1.0596596464818837,83.45,20.089067697525024,1217.379060268402
resnet,dion,53,1.0552625169559402,84.52,21.414095878601074,1238.7931561470032
resnet,dion,54,1.048086193143105,84.63,21.777101039886475,1260.5702571868896
resnet,dion,55,1.0463776685753647,85.94,20.579163074493408,1281.149420261383
resnet,dion,56,1.0471525082782822,86.26,24.127079963684082,1305.2765002250671
resnet,dion,57,1.0394746965291548,85.58,23.44555354118347,1328.7220537662506
resnet,dion,58,1.0355880236139103,85.73,28.16376829147339,1356.885822057724
resnet,dion,59,1.0351465843161758,84.63,30.24374532699585,1387.1295673847198
resnet,dion,60,1.0295618845491994,86.81,19.51137065887451,1406.6409380435944
resnet,dion,61,1.0287780980674588,86.89,19.119696140289307,1425.7606341838837
resnet,dion,62,1.0221922044851341,87.11,24.77983546257019,1450.5404696464539
resnet,dion,63,1.0242737178899803,86.93,24.11711311340332,1474.6575827598572
resnet,dion,64,1.0181270351215286,87.01,21.539073944091797,1496.196656703949
resnet,dion,65,1.0176647597429704,87.45,22.972386598587036,1519.169043302536
resnet,dion,66,1.014589718409947,87.48,20.206375122070312,1539.3754184246063
resnet,dion,67,1.017359439207583,87.21,21.956092596054077,1561.3315110206604
resnet,dion,68,1.011841130499937,87.54,22.054704904556274,1583.3862159252167
resnet,dion,69,1.0155629491319462,87.77,23.8199725151062,1607.2061884403229
resnet,dion,70,1.0111886433192663,87.41,18.204216957092285,1625.4104053974152
resnet,dion,71,1.004734524658748,87.54,19.965271472930908,1645.375676870346
